sub_id	entry	is_head	page_start	page_end	n_pages	source	start_confidence	end_confidence	warning
10800448-2	448	0	71	72	2	anchor	unknown	uncertain	page_end extended from 71 to 72: text_position did not indicate a real ending on page 71, and no other block won any page in between, so it must finish no earlier than the page where '10800448-3' starts.
10800463-7	463	0	73	74	2	anchor	unknown	uncertain	page_end extended from 73 to 74: text_position did not indicate a real ending on page 73, and no other block won any page in between, so it must finish no earlier than the page where '10800463-8' starts.
10800471-5	471	0	74	75	2	anchor	unknown	uncertain	page_end extended from 74 to 75: text_position did not indicate a real ending on page 74, and no other block won any page in between, so it must finish no earlier than the page where '10800472-0' starts.
10800481-0	481	1	75	76	2	anchor	unknown	uncertain	page_end extended from 75 to 76: text_position did not indicate a real ending on page 75, and no other block won any page in between, so it must finish no earlier than the page where '10800481-1' starts.
10800490-1	490	0	76	77	2	anchor	unknown	uncertain	page_end extended from 76 to 77: text_position did not indicate a real ending on page 76, and no other block won any page in between, so it must finish no earlier than the page where '10800491-0' starts.
10800505-1	505	0	78	79	2	anchor	unknown	uncertain	page_end extended from 78 to 79: text_position did not indicate a real ending on page 78, and no other block won any page in between, so it must finish no earlier than the page where '10800506-0' starts.
10800513-20	513	0	79	80	2	anchor	unknown	uncertain	page_end extended from 79 to 80: text_position did not indicate a real ending on page 79, and no other block won any page in between, so it must finish no earlier than the page where '10800513-21' starts.
10800533-1	533	0	83	84	2	anchor	unknown	uncertain	page_end extended from 83 to 84: text_position did not indicate a real ending on page 83, and no other block won any page in between, so it must finish no earlier than the page where '10800534-0' starts.
10800558-9	558	0	86	87	2	anchor	unknown	uncertain	page_end extended from 86 to 87: text_position did not indicate a real ending on page 86, and no other block won any page in between, so it must finish no earlier than the page where '10800558-10' starts.
10800563-0	563	1	87	88	2	anchor	unknown	uncertain	page_end extended from 87 to 88: text_position did not indicate a real ending on page 87, and no other block won any page in between, so it must finish no earlier than the page where '10800563-1' starts.
10800571-1	571	0	89	90	2	anchor	unknown	uncertain	page_end extended from 89 to 90: text_position did not indicate a real ending on page 89, and no other block won any page in between, so it must finish no earlier than the page where '10800571-2' starts.
10800573-5	573	0	90	91	2	anchor	unknown	uncertain	page_end extended from 90 to 91: text_position did not indicate a real ending on page 90, and no other block won any page in between, so it must finish no earlier than the page where '10800573-6' starts.
10800578-1	578	0	91	92	2	anchor	unknown	uncertain	page_end extended from 91 to 92: text_position did not indicate a real ending on page 91, and no other block won any page in between, so it must finish no earlier than the page where '10800579-0' starts.
10800579-19	579	0	92	93	2	anchor	unknown	uncertain	page_end extended from 92 to 93: text_position did not indicate a real ending on page 92, and no other block won any page in between, so it must finish no earlier than the page where '10800579-20' starts.
10800593-2	593	0	93	94	2	anchor	unknown	uncertain	page_end extended from 93 to 94: text_position did not indicate a real ending on page 93, and no other block won any page in between, so it must finish no earlier than the page where '10800593-3' starts.
10800634-2	634	0	98	99	2	anchor	unknown	uncertain	page_end extended from 98 to 99: text_position did not indicate a real ending on page 98, and no other block won any page in between, so it must finish no earlier than the page where '10800634-3' starts.
10800634-9	634	0	99	100	2	anchor	unknown	uncertain	page_end extended from 99 to 100: text_position did not indicate a real ending on page 99, and no other block won any page in between, so it must finish no earlier than the page where '10800634-10' starts.
10800634-19	634	0	100	101	2	anchor	unknown	uncertain	page_end extended from 100 to 101: text_position did not indicate a real ending on page 100, and no other block won any page in between, so it must finish no earlier than the page where '10800635-0' starts.
10800681-1	681	0	105	106	2	anchor	unknown	uncertain	page_end extended from 105 to 106: text_position did not indicate a real ending on page 105, and no other block won any page in between, so it must finish no earlier than the page where '10800682-0' starts.
10800692-5	692	0	106	107	2	anchor	unknown	uncertain	page_end extended from 106 to 107: text_position did not indicate a real ending on page 106, and no other block won any page in between, so it must finish no earlier than the page where '10800693-0' starts.
10800699-2	699	0	107	108	2	anchor	unknown	uncertain	page_end extended from 107 to 108: text_position did not indicate a real ending on page 107, and no other block won any page in between, so it must finish no earlier than the page where '10800700-0' starts.
10800738-1	738	0	110	111	2	anchor	unknown	uncertain	page_end extended from 110 to 111: text_position did not indicate a real ending on page 110, and no other block won any page in between, so it must finish no earlier than the page where '10800739-0' starts.
10800760-5	760	0	112	113	2	anchor	unknown	uncertain	page_end extended from 112 to 113: text_position did not indicate a real ending on page 112, and no other block won any page in between, so it must finish no earlier than the page where '10800761-0' starts.
10800769-1	769	0	113	114	2	anchor	unknown	uncertain	page_end extended from 113 to 114: text_position did not indicate a real ending on page 113, and no other block won any page in between, so it must finish no earlier than the page where '10800769-2' starts.
10800775-2	775	0	114	115	2	anchor	unknown	uncertain	page_end extended from 114 to 115: text_position did not indicate a real ending on page 114, and no other block won any page in between, so it must finish no earlier than the page where '10800775-3' starts.
10800781-1	781	0	115	116	2	anchor	unknown	uncertain	page_end extended from 115 to 116: text_position did not indicate a real ending on page 115, and no other block won any page in between, so it must finish no earlier than the page where '10800781-2' starts.
10800800-1	800	0	117	118	2	anchor	unknown	uncertain	page_end extended from 117 to 118: text_position did not indicate a real ending on page 117, and no other block won any page in between, so it must finish no earlier than the page where '10800800-2' starts.
10800807-3	807	0	118	119	2	anchor	unknown	uncertain	page_end extended from 118 to 119: text_position did not indicate a real ending on page 118, and no other block won any page in between, so it must finish no earlier than the page where '10800807-4' starts.
10800817-2	817	0	119	120	2	anchor	unknown	uncertain	page_end extended from 119 to 120: text_position did not indicate a real ending on page 119, and no other block won any page in between, so it must finish no earlier than the page where '10800818-0' starts.
10800819-3	819	0	120	121	2	anchor	unknown	uncertain	page_end extended from 120 to 121: text_position did not indicate a real ending on page 120, and no other block won any page in between, so it must finish no earlier than the page where '10800819-4' starts.
10800827-6	827	0	121	122	2	anchor	unknown	uncertain	page_end extended from 121 to 122: text_position did not indicate a real ending on page 121, and no other block won any page in between, so it must finish no earlier than the page where '10800827-7' starts.
10800834-3	834	0	122	123	2	anchor	unknown	uncertain	page_end extended from 122 to 123: text_position did not indicate a real ending on page 122, and no other block won any page in between, so it must finish no earlier than the page where '10800834-4' starts.
10800846-1	846	0	123	124	2	anchor	unknown	uncertain	page_end extended from 123 to 124: text_position did not indicate a real ending on page 123, and no other block won any page in between, so it must finish no earlier than the page where '10800846-2' starts.
10800873-1	873	0	126	127	2	anchor	unknown	uncertain	page_end extended from 126 to 127: text_position did not indicate a real ending on page 126, and no other block won any page in between, so it must finish no earlier than the page where '10800874-0' starts.
10800881-2	881	0	127	128	2	anchor	unknown	uncertain	page_end extended from 127 to 128: text_position did not indicate a real ending on page 127, and no other block won any page in between, so it must finish no earlier than the page where '10800882-0' starts.
10800895-2	895	0	129	130	2	anchor	unknown	uncertain	page_end extended from 129 to 130: text_position did not indicate a real ending on page 129, and no other block won any page in between, so it must finish no earlier than the page where '10800895-3' starts.
10800901-2	901	0	130	131	2	anchor	unknown	uncertain	page_end extended from 130 to 131: text_position did not indicate a real ending on page 130, and no other block won any page in between, so it must finish no earlier than the page where '10800901-3' starts.
10800907-8	907	0	131	132	2	anchor	unknown	uncertain	page_end extended from 131 to 132: text_position did not indicate a real ending on page 131, and no other block won any page in between, so it must finish no earlier than the page where '10800907-9' starts.
10800912-1	912	0	132	133	2	anchor	unknown	uncertain	page_end extended from 132 to 133: text_position did not indicate a real ending on page 132, and no other block won any page in between, so it must finish no earlier than the page where '10800913-0' starts.
10800920-8	920	0	134	135	2	anchor	unknown	uncertain	page_end extended from 134 to 135: text_position did not indicate a real ending on page 134, and no other block won any page in between, so it must finish no earlier than the page where '10800920-9' starts.
10800931-10	931	0	137	138	2	anchor	unknown	uncertain	page_end extended from 137 to 138: text_position did not indicate a real ending on page 137, and no other block won any page in between, so it must finish no earlier than the page where '10800931-11' starts.
10800936-1	936	0	138	139	2	anchor	unknown	uncertain	page_end extended from 138 to 139: text_position did not indicate a real ending on page 138, and no other block won any page in between, so it must finish no earlier than the page where '10800936-2' starts.
10800949-6	949	0	139	140	2	anchor	unknown	uncertain	page_end extended from 139 to 140: text_position did not indicate a real ending on page 139, and no other block won any page in between, so it must finish no earlier than the page where '10800950-0' starts.
10800957-8	957	0	140	141	2	anchor	unknown	uncertain	page_end extended from 140 to 141: text_position did not indicate a real ending on page 140, and no other block won any page in between, so it must finish no earlier than the page where '10800957-9' starts.
10800961-2	961	0	141	142	2	anchor	unknown	uncertain	page_end extended from 141 to 142: text_position did not indicate a real ending on page 141, and no other block won any page in between, so it must finish no earlier than the page where '10800961-3' starts.
10800978-2	978	0	143	144	2	anchor	unknown	uncertain	page_end extended from 143 to 144: text_position did not indicate a real ending on page 143, and no other block won any page in between, so it must finish no earlier than the page where '10800978-3' starts.
10800984-1	984	0	144	145	2	anchor	unknown	uncertain	page_end extended from 144 to 145: text_position did not indicate a real ending on page 144, and no other block won any page in between, so it must finish no earlier than the page where '10800985-0' starts.
10800993-4	993	0	145	146	2	anchor	unknown	uncertain	page_end extended from 145 to 146: text_position did not indicate a real ending on page 145, and no other block won any page in between, so it must finish no earlier than the page where '10800994-0' starts.
10801000-2	1000	0	146	147	2	anchor	unknown	uncertain	page_end extended from 146 to 147: text_position did not indicate a real ending on page 146, and no other block won any page in between, so it must finish no earlier than the page where '10801000-3' starts.
10801012-3	1012	0	148	149	2	anchor	unknown	uncertain	page_end extended from 148 to 149: text_position did not indicate a real ending on page 148, and no other block won any page in between, so it must finish no earlier than the page where '10801012-4' starts.
10801040-2	1040	0	151	152	2	anchor	unknown	uncertain	page_end extended from 151 to 152: text_position did not indicate a real ending on page 151, and no other block won any page in between, so it must finish no earlier than the page where '10801040-3' starts.
10801046-3	1046	0	152	153	2	anchor	unknown	uncertain	page_end extended from 152 to 153: text_position did not indicate a real ending on page 152, and no other block won any page in between, so it must finish no earlier than the page where '10801047-0' starts.
10801056-0	1056	1	153	154	2	anchor	unknown	uncertain	page_end extended from 153 to 154: text_position did not indicate a real ending on page 153, and no other block won any page in between, so it must finish no earlier than the page where '10801056-1' starts.
10801066-1	1066	0	154	155	2	anchor	unknown	uncertain	page_end extended from 154 to 155: text_position did not indicate a real ending on page 154, and no other block won any page in between, so it must finish no earlier than the page where '10801066-2' starts.
10801076-1	1076	0	155	156	2	anchor	unknown	uncertain	page_end extended from 155 to 156: text_position did not indicate a real ending on page 155, and no other block won any page in between, so it must finish no earlier than the page where '10801076-2' starts.
10801087-2	1087	0	156	157	2	anchor	unknown	uncertain	page_end extended from 156 to 157: text_position did not indicate a real ending on page 156, and no other block won any page in between, so it must finish no earlier than the page where '10801087-3' starts.
10801093-1	1093	0	157	158	2	anchor	unknown	uncertain	page_end extended from 157 to 158: text_position did not indicate a real ending on page 157, and no other block won any page in between, so it must finish no earlier than the page where '10801093-2' starts.
10801097-17	1097	0	158	159	2	anchor	unknown	uncertain	page_end extended from 158 to 159: text_position did not indicate a real ending on page 158, and no other block won any page in between, so it must finish no earlier than the page where '10801097-18' starts.
10801102-5	1102	0	159	160	2	anchor	unknown	uncertain	page_end extended from 159 to 160: text_position did not indicate a real ending on page 159, and no other block won any page in between, so it must finish no earlier than the page where '10801102-6' starts.
10801112-1	1112	0	161	162	2	anchor	unknown	uncertain	page_end extended from 161 to 162: text_position did not indicate a real ending on page 161, and no other block won any page in between, so it must finish no earlier than the page where '10801113-0' starts.
10801118-9	1118	0	162	163	2	anchor	unknown	uncertain	page_end extended from 162 to 163: text_position did not indicate a real ending on page 162, and no other block won any page in between, so it must finish no earlier than the page where '10801119-0' starts.
10801128-1	1128	0	163	164	2	anchor	unknown	uncertain	page_end extended from 163 to 164: text_position did not indicate a real ending on page 163, and no other block won any page in between, so it must finish no earlier than the page where '10801129-0' starts.
10801138-2	1138	0	164	165	2	anchor	unknown	uncertain	page_end extended from 164 to 165: text_position did not indicate a real ending on page 164, and no other block won any page in between, so it must finish no earlier than the page where '10801139-0' starts.
10801144-3	1144	0	165	166	2	anchor	unknown	uncertain	page_end extended from 165 to 166: text_position did not indicate a real ending on page 165, and no other block won any page in between, so it must finish no earlier than the page where '10801144-4' starts.
10801148-10	1148	0	166	167	2	anchor	unknown	uncertain	page_end extended from 166 to 167: text_position did not indicate a real ending on page 166, and no other block won any page in between, so it must finish no earlier than the page where '10801149-0' starts.
10801155-4	1155	0	167	168	2	anchor	unknown	uncertain	page_end extended from 167 to 168: text_position did not indicate a real ending on page 167, and no other block won any page in between, so it must finish no earlier than the page where '10801156-0' starts.
10801179-1	1179	0	169	170	2	anchor	unknown	uncertain	page_end extended from 169 to 170: text_position did not indicate a real ending on page 169, and no other block won any page in between, so it must finish no earlier than the page where '10801180-0' starts.
10801189-2	1189	0	170	171	2	anchor	unknown	uncertain	page_end extended from 170 to 171: text_position did not indicate a real ending on page 170, and no other block won any page in between, so it must finish no earlier than the page where '10801189-3' starts.
10801189-28	1189	0	171	172	2	anchor	unknown	uncertain	page_end extended from 171 to 172: text_position did not indicate a real ending on page 171, and no other block won any page in between, so it must finish no earlier than the page where '10801189-29' starts.
10801197-6	1197	0	172	173	2	anchor	unknown	uncertain	page_end extended from 172 to 173: text_position did not indicate a real ending on page 172, and no other block won any page in between, so it must finish no earlier than the page where '10801197-7' starts.
10801200-2	1200	0	173	174	2	anchor	unknown	uncertain	page_end extended from 173 to 174: text_position did not indicate a real ending on page 173, and no other block won any page in between, so it must finish no earlier than the page where '10801200-3' starts.
10801205-0	1205	1	174	175	2	anchor	unknown	uncertain	page_end extended from 174 to 175: text_position did not indicate a real ending on page 174, and no other block won any page in between, so it must finish no earlier than the page where '10801205-1' starts.
10801226-2	1226	0	177	178	2	anchor	unknown	uncertain	page_end extended from 177 to 178: text_position did not indicate a real ending on page 177, and no other block won any page in between, so it must finish no earlier than the page where '10801227-0' starts.
10801234-1	1234	0	178	179	2	anchor	unknown	uncertain	page_end extended from 178 to 179: text_position did not indicate a real ending on page 178, and no other block won any page in between, so it must finish no earlier than the page where '10801235-0' starts.
10801242-1	1242	0	179	180	2	anchor	unknown	uncertain	page_end extended from 179 to 180: text_position did not indicate a real ending on page 179, and no other block won any page in between, so it must finish no earlier than the page where '10801243-0' starts.
10801252-4	1252	0	180	181	2	anchor	unknown	uncertain	page_end extended from 180 to 181: text_position did not indicate a real ending on page 180, and no other block won any page in between, so it must finish no earlier than the page where '10801252-5' starts.
10801256-13	1256	0	181	182	2	anchor	unknown	uncertain	page_end extended from 181 to 182: text_position did not indicate a real ending on page 181, and no other block won any page in between, so it must finish no earlier than the page where '10801256-14' starts.
10801259-3	1259	0	182	183	2	anchor	unknown	uncertain	page_end extended from 182 to 183: text_position did not indicate a real ending on page 182, and no other block won any page in between, so it must finish no earlier than the page where '10801259-4' starts.
10801259-28	1259	0	183	184	2	anchor	unknown	uncertain	page_end extended from 183 to 184: text_position did not indicate a real ending on page 183, and no other block won any page in between, so it must finish no earlier than the page where '10801259-29' starts.
10801259-64	1259	0	185	186	2	anchor	unknown	uncertain	page_end extended from 185 to 186: text_position did not indicate a real ending on page 185, and no other block won any page in between, so it must finish no earlier than the page where '10801259-65' starts.
10801272-1	1272	0	187	188	2	anchor	unknown	uncertain	page_end extended from 187 to 188: text_position did not indicate a real ending on page 187, and no other block won any page in between, so it must finish no earlier than the page where '10801272-2' starts.
10801283-1	1283	0	188	189	2	anchor	unknown	uncertain	page_end extended from 188 to 189: text_position did not indicate a real ending on page 188, and no other block won any page in between, so it must finish no earlier than the page where '10801284-0' starts.
10801301-1	1301	0	190	191	2	anchor	unknown	uncertain	page_end extended from 190 to 191: text_position did not indicate a real ending on page 190, and no other block won any page in between, so it must finish no earlier than the page where '10801302-0' starts.
10801310-1	1310	0	191	192	2	anchor	unknown	uncertain	page_end extended from 191 to 192: text_position did not indicate a real ending on page 191, and no other block won any page in between, so it must finish no earlier than the page where '10801310-2' starts.
10801315-1	1315	0	192	193	2	anchor	unknown	uncertain	page_end extended from 192 to 193: text_position did not indicate a real ending on page 192, and no other block won any page in between, so it must finish no earlier than the page where '10801315-2' starts.
10801321-1	1321	0	193	194	2	anchor	unknown	uncertain	page_end extended from 193 to 194: text_position did not indicate a real ending on page 193, and no other block won any page in between, so it must finish no earlier than the page where '10801321-2' starts.
10801335-1	1335	0	196	197	2	anchor	unknown	uncertain	page_end extended from 196 to 197: text_position did not indicate a real ending on page 196, and no other block won any page in between, so it must finish no earlier than the page where '10801336-0' starts.
10801345-3	1345	0	197	198	2	anchor	unknown	uncertain	page_end extended from 197 to 198: text_position did not indicate a real ending on page 197, and no other block won any page in between, so it must finish no earlier than the page where '10801345-4' starts.
10801351-1	1351	0	198	199	2	anchor	unknown	uncertain	page_end extended from 198 to 199: text_position did not indicate a real ending on page 198, and no other block won any page in between, so it must finish no earlier than the page where '10801351-2' starts.
10801362-3	1362	0	199	200	2	anchor	unknown	uncertain	page_end extended from 199 to 200: text_position did not indicate a real ending on page 199, and no other block won any page in between, so it must finish no earlier than the page where '10801362-4' starts.
10801368-5	1368	0	200	201	2	anchor	unknown	uncertain	page_end extended from 200 to 201: text_position did not indicate a real ending on page 200, and no other block won any page in between, so it must finish no earlier than the page where '10801368-6' starts.
10801378-8	1378	0	201	202	2	anchor	unknown	uncertain	page_end extended from 201 to 202: text_position did not indicate a real ending on page 201, and no other block won any page in between, so it must finish no earlier than the page where '10801378-9' starts.
10801398-14	1398	0	204	205	2	anchor	unknown	uncertain	page_end extended from 204 to 205: text_position did not indicate a real ending on page 204, and no other block won any page in between, so it must finish no earlier than the page where '10801398-15' starts.
10801408-3	1408	0	205	206	2	anchor	unknown	uncertain	page_end extended from 205 to 206: text_position did not indicate a real ending on page 205, and no other block won any page in between, so it must finish no earlier than the page where '10801408-4' starts.
10801414-4	1414	0	206	207	2	anchor	unknown	uncertain	page_end extended from 206 to 207: text_position did not indicate a real ending on page 206, and no other block won any page in between, so it must finish no earlier than the page where '10801414-5' starts.
10801425-2	1425	0	207	208	2	anchor	unknown	uncertain	page_end extended from 207 to 208: text_position did not indicate a real ending on page 207, and no other block won any page in between, so it must finish no earlier than the page where '10801425-3' starts.
10801431-0	1431	1	208	209	2	anchor	unknown	uncertain	page_end extended from 208 to 209: text_position did not indicate a real ending on page 208, and no other block won any page in between, so it must finish no earlier than the page where '10801431-1' starts.
10801439-2	1439	0	210	211	2	anchor	unknown	uncertain	page_end extended from 210 to 211: text_position did not indicate a real ending on page 210, and no other block won any page in between, so it must finish no earlier than the page where '10801439-3' starts.
10801452-3	1452	0	212	213	2	anchor	unknown	uncertain	page_end extended from 212 to 213: text_position did not indicate a real ending on page 212, and no other block won any page in between, so it must finish no earlier than the page where '10801452-4' starts.
10801462-1	1462	0	213	214	2	anchor	unknown	uncertain	page_end extended from 213 to 214: text_position did not indicate a real ending on page 213, and no other block won any page in between, so it must finish no earlier than the page where '10801463-0' starts.
10801473-2	1473	0	214	215	2	anchor	unknown	uncertain	page_end extended from 214 to 215: text_position did not indicate a real ending on page 214, and no other block won any page in between, so it must finish no earlier than the page where '10801473-3' starts.
10801491-3	1491	0	216	217	2	anchor	unknown	uncertain	page_end extended from 216 to 217: text_position did not indicate a real ending on page 216, and no other block won any page in between, so it must finish no earlier than the page where '10801491-4' starts.
10801498-1	1498	0	217	218	2	anchor	unknown	uncertain	page_end extended from 217 to 218: text_position did not indicate a real ending on page 217, and no other block won any page in between, so it must finish no earlier than the page where '10801499-0' starts.
10801508-2	1508	0	219	220	2	anchor	unknown	uncertain	page_end extended from 219 to 220: text_position did not indicate a real ending on page 219, and no other block won any page in between, so it must finish no earlier than the page where '10801508-3' starts.
10801519-1	1519	0	220	221	2	anchor	unknown	uncertain	page_end extended from 220 to 221: text_position did not indicate a real ending on page 220, and no other block won any page in between, so it must finish no earlier than the page where '10801520-0' starts.
10801528-1	1528	0	221	222	2	anchor	unknown	uncertain	page_end extended from 221 to 222: text_position did not indicate a real ending on page 221, and no other block won any page in between, so it must finish no earlier than the page where '10801528-2' starts.
10801533-3	1533	0	222	223	2	anchor	unknown	uncertain	page_end extended from 222 to 223: text_position did not indicate a real ending on page 222, and no other block won any page in between, so it must finish no earlier than the page where '10801533-4' starts.
10801543-1	1543	0	223	224	2	anchor	unknown	uncertain	page_end extended from 223 to 224: text_position did not indicate a real ending on page 223, and no other block won any page in between, so it must finish no earlier than the page where '10801543-2' starts.
10801554-12	1554	0	225	226	2	anchor	unknown	uncertain	page_end extended from 225 to 226: text_position did not indicate a real ending on page 225, and no other block won any page in between, so it must finish no earlier than the page where '10801555-0' starts.
10801560-12	1560	0	227	228	2	anchor	unknown	uncertain	page_end extended from 227 to 228: text_position did not indicate a real ending on page 227, and no other block won any page in between, so it must finish no earlier than the page where '10801560-13' starts.
10801560-31	1560	0	228	229	2	anchor	unknown	uncertain	page_end extended from 228 to 229: text_position did not indicate a real ending on page 228, and no other block won any page in between, so it must finish no earlier than the page where '10801560-32' starts.
